state,industry,reporting_date,year,month,month_no,turnover_millions,yoy_growth_pct
Australian Capital Territory,"Cafes, restaurants and catering services",1/01/2019,2019,January  ,1,36.7,NULL
Australian Capital Territory,"Cafes, restaurants and catering services",1/02/2019,2019,February ,2,40,NULL
Australian Capital Territory,"Cafes, restaurants and catering services",1/03/2019,2019,March    ,3,45.5,NULL
Australian Capital Territory,"Cafes, restaurants and catering services",1/04/2019,2019,April    ,4,44.4,NULL
Australian Capital Territory,"Cafes, restaurants and catering services",1/05/2019,2019,May      ,5,44.5,NULL
Australian Capital Territory,"Cafes, restaurants and catering services",1/06/2019,2019,June     ,6,38.8,NULL
Australian Capital Territory,"Cafes, restaurants and catering services",1/07/2019,2019,July     ,7,41.6,NULL
Australian Capital Territory,"Cafes, restaurants and catering services",1/08/2019,2019,August   ,8,44.2,NULL
Australian Capital Territory,"Cafes, restaurants and catering services",1/09/2019,2019,September,9,43.8,NULL
Australian Capital Territory,"Cafes, restaurants and catering services",1/10/2019,2019,October  ,10,45,NULL
Australian Capital Territory,"Cafes, restaurants and catering services",1/11/2019,2019,November ,11,44.3,NULL
Australian Capital Territory,"Cafes, restaurants and catering services",1/12/2019,2019,December ,12,41.4,NULL
Australian Capital Territory,"Cafes, restaurants and catering services",1/01/2020,2020,January  ,1,32.6,-11.17
Australian Capital Territory,"Cafes, restaurants and catering services",1/02/2020,2020,February ,2,37.6,-6.00
Australian Capital Territory,"Cafes, restaurants and catering services",1/03/2020,2020,March    ,3,29.8,-34.51
Australian Capital Territory,"Cafes, restaurants and catering services",1/04/2020,2020,April    ,4,12.6,-71.62
Australian Capital Territory,"Cafes, restaurants and catering services",1/05/2020,2020,May      ,5,14.9,-66.52
Australian Capital Territory,"Cafes, restaurants and catering services",1/06/2020,2020,June     ,6,25.9,-33.25
Australian Capital Territory,"Cafes, restaurants and catering services",1/07/2020,2020,July     ,7,31.7,-23.80
Australian Capital Territory,"Cafes, restaurants and catering services",1/08/2020,2020,August   ,8,32.4,-26.70
Australian Capital Territory,"Cafes, restaurants and catering services",1/09/2020,2020,September,9,32,-26.94
Australian Capital Territory,"Cafes, restaurants and catering services",1/10/2020,2020,October  ,10,33.7,-25.11
Australian Capital Territory,"Cafes, restaurants and catering services",1/11/2020,2020,November ,11,36.3,-18.06
Australian Capital Territory,"Cafes, restaurants and catering services",1/12/2020,2020,December ,12,37.2,-10.14
Australian Capital Territory,"Cafes, restaurants and catering services",1/01/2021,2021,January  ,1,32.9,0.92
Australian Capital Territory,"Cafes, restaurants and catering services",1/02/2021,2021,February ,2,38,1.06
Australian Capital Territory,"Cafes, restaurants and catering services",1/03/2021,2021,March    ,3,42.1,41.28
Australian Capital Territory,"Cafes, restaurants and catering services",1/04/2021,2021,April    ,4,40.6,222.22
Australian Capital Territory,"Cafes, restaurants and catering services",1/05/2021,2021,May      ,5,43.5,191.95
Australian Capital Territory,"Cafes, restaurants and catering services",1/06/2021,2021,June     ,6,41.3,59.46
Australian Capital Territory,"Cafes, restaurants and catering services",1/07/2021,2021,July     ,7,42.6,34.38
Australian Capital Territory,"Cafes, restaurants and catering services",1/08/2021,2021,August   ,8,25,-22.84
Australian Capital Territory,"Cafes, restaurants and catering services",1/09/2021,2021,September,9,15,-53.13
Australian Capital Territory,"Cafes, restaurants and catering services",1/10/2021,2021,October  ,10,26.9,-20.18
Australian Capital Territory,"Cafes, restaurants and catering services",1/11/2021,2021,November ,11,45.5,25.34
Australian Capital Territory,"Cafes, restaurants and catering services",1/12/2021,2021,December ,12,45.8,23.12
Australian Capital Territory,"Cafes, restaurants and catering services",1/01/2022,2022,January  ,1,37.5,13.98
Australian Capital Territory,"Cafes, restaurants and catering services",1/02/2022,2022,February ,2,45.6,20.00
Australian Capital Territory,"Cafes, restaurants and catering services",1/03/2022,2022,March    ,3,53.1,26.13
Australian Capital Territory,"Cafes, restaurants and catering services",1/04/2022,2022,April    ,4,49.6,22.17
Australian Capital Territory,"Cafes, restaurants and catering services",1/05/2022,2022,May      ,5,53.4,22.76
Australian Capital Territory,"Cafes, restaurants and catering services",1/06/2022,2022,June     ,6,49.8,20.58
Australian Capital Territory,"Cafes, restaurants and catering services",1/07/2022,2022,July     ,7,55.1,29.34
Australian Capital Territory,"Cafes, restaurants and catering services",1/08/2022,2022,August   ,8,58.9,135.60
Australian Capital Territory,"Cafes, restaurants and catering services",1/09/2022,2022,September,9,59.9,299.33
Australian Capital Territory,"Cafes, restaurants and catering services",1/10/2022,2022,October  ,10,57.1,112.27
Australian Capital Territory,"Cafes, restaurants and catering services",1/11/2022,2022,November ,11,63.8,40.22
Australian Capital Territory,"Cafes, restaurants and catering services",1/12/2022,2022,December ,12,67.8,48.03
Australian Capital Territory,"Cafes, restaurants and catering services",1/01/2023,2023,January  ,1,58.1,54.93
Australian Capital Territory,"Cafes, restaurants and catering services",1/02/2023,2023,February ,2,60.9,33.55
Australian Capital Territory,"Cafes, restaurants and catering services",1/03/2023,2023,March    ,3,66.4,25.05
Australian Capital Territory,"Cafes, restaurants and catering services",1/04/2023,2023,April    ,4,60.7,22.38
Australian Capital Territory,"Cafes, restaurants and catering services",1/05/2023,2023,May      ,5,67.8,26.97
Australian Capital Territory,"Cafes, restaurants and catering services",1/06/2023,2023,June     ,6,66.8,34.14
Australian Capital Territory,"Cafes, restaurants and catering services",1/07/2023,2023,July     ,7,68.8,24.86
Australian Capital Territory,"Cafes, restaurants and catering services",1/08/2023,2023,August   ,8,72.4,22.92
Australian Capital Territory,"Cafes, restaurants and catering services",1/09/2023,2023,September,9,67.7,13.02
Australian Capital Territory,"Cafes, restaurants and catering services",1/10/2023,2023,October  ,10,62,8.58
Australian Capital Territory,"Cafes, restaurants and catering services",1/11/2023,2023,November ,11,66.1,3.61
Australian Capital Territory,"Cafes, restaurants and catering services",1/12/2023,2023,December ,12,71.1,4.87
Australian Capital Territory,"Cafes, restaurants and catering services",1/01/2024,2024,January  ,1,60.1,3.44
Australian Capital Territory,"Cafes, restaurants and catering services",1/02/2024,2024,February ,2,63.4,4.11
Australian Capital Territory,"Cafes, restaurants and catering services",1/03/2024,2024,March    ,3,70.7,6.48
Australian Capital Territory,"Cafes, restaurants and catering services",1/04/2024,2024,April    ,4,68.4,12.69
Australian Capital Territory,"Cafes, restaurants and catering services",1/05/2024,2024,May      ,5,69.9,3.10
Australian Capital Territory,"Cafes, restaurants and catering services",1/06/2024,2024,June     ,6,66.9,0.15
Australian Capital Territory,"Cafes, restaurants and catering services",1/07/2024,2024,July     ,7,73.8,7.27
Australian Capital Territory,"Cafes, restaurants and catering services",1/08/2024,2024,August   ,8,74,2.21
Australian Capital Territory,"Cafes, restaurants and catering services",1/09/2024,2024,September,9,71.4,5.47
Australian Capital Territory,"Cafes, restaurants and catering services",1/10/2024,2024,October  ,10,72.6,17.10
Australian Capital Territory,"Cafes, restaurants and catering services",1/11/2024,2024,November ,11,74.8,13.16
Australian Capital Territory,"Cafes, restaurants and catering services",1/12/2024,2024,December ,12,74.8,5.20
Australian Capital Territory,"Cafes, restaurants and catering services",1/01/2025,2025,January  ,1,66.1,9.98
Australian Capital Territory,"Cafes, restaurants and catering services",1/02/2025,2025,February ,2,67.6,6.62
Australian Capital Territory,"Cafes, restaurants and catering services",1/03/2025,2025,March    ,3,76.7,8.49
Australian Capital Territory,"Cafes, restaurants and catering services",1/04/2025,2025,April    ,4,70.6,3.22
Australian Capital Territory,"Cafes, restaurants and catering services",1/05/2025,2025,May      ,5,76.1,8.87
Australian Capital Territory,"Cafes, restaurants and catering services",1/06/2025,2025,June     ,6,73.1,9.27
Australian Capital Territory,Clothing retailing,1/01/2019,2019,January  ,1,23,NULL
Australian Capital Territory,Clothing retailing,1/02/2019,2019,February ,2,19.3,NULL
Australian Capital Territory,Clothing retailing,1/03/2019,2019,March    ,3,24.4,NULL
Australian Capital Territory,Clothing retailing,1/04/2019,2019,April    ,4,26,NULL
Australian Capital Territory,Clothing retailing,1/05/2019,2019,May      ,5,27.7,NULL
Australian Capital Territory,Clothing retailing,1/06/2019,2019,June     ,6,26.8,NULL
Australian Capital Territory,Clothing retailing,1/07/2019,2019,July     ,7,23.4,NULL
Australian Capital Territory,Clothing retailing,1/08/2019,2019,August   ,8,21.6,NULL
Australian Capital Territory,Clothing retailing,1/09/2019,2019,September,9,20.7,NULL
Australian Capital Territory,Clothing retailing,1/10/2019,2019,October  ,10,24,NULL
Australian Capital Territory,Clothing retailing,1/11/2019,2019,November ,11,27,NULL
Australian Capital Territory,Clothing retailing,1/12/2019,2019,December ,12,37.5,NULL
Australian Capital Territory,Clothing retailing,1/01/2020,2020,January  ,1,21.7,-5.65
Australian Capital Territory,Clothing retailing,1/02/2020,2020,February ,2,20.1,4.15
Australian Capital Territory,Clothing retailing,1/03/2020,2020,March    ,3,17.1,-29.92
Australian Capital Territory,Clothing retailing,1/04/2020,2020,April    ,4,9.1,-65.00
Australian Capital Territory,Clothing retailing,1/05/2020,2020,May      ,5,23.9,-13.72
Australian Capital Territory,Clothing retailing,1/06/2020,2020,June     ,6,28.3,5.60
Australian Capital Territory,Clothing retailing,1/07/2020,2020,July     ,7,29.1,24.36
Australian Capital Territory,Clothing retailing,1/08/2020,2020,August   ,8,26.1,20.83
Australian Capital Territory,Clothing retailing,1/09/2020,2020,September,9,26.8,29.47
Australian Capital Territory,Clothing retailing,1/10/2020,2020,October  ,10,31.1,29.58
Australian Capital Territory,Clothing retailing,1/11/2020,2020,November ,11,35.1,30.00
Australian Capital Territory,Clothing retailing,1/12/2020,2020,December ,12,46.1,22.93
Australian Capital Territory,Clothing retailing,1/01/2021,2021,January  ,1,28,29.03
Australian Capital Territory,Clothing retailing,1/02/2021,2021,February ,2,24,19.40
Australian Capital Territory,Clothing retailing,1/03/2021,2021,March    ,3,29.7,73.68
Australian Capital Territory,Clothing retailing,1/04/2021,2021,April    ,4,32.6,258.24
Australian Capital Territory,Clothing retailing,1/05/2021,2021,May      ,5,33.5,40.17
Australian Capital Territory,Clothing retailing,1/06/2021,2021,June     ,6,31.3,10.60
Australian Capital Territory,Clothing retailing,1/07/2021,2021,July     ,7,29.8,2.41
Australian Capital Territory,Clothing retailing,1/08/2021,2021,August   ,8,12.6,-51.72
Australian Capital Territory,Clothing retailing,1/09/2021,2021,September,9,4.6,-82.84
Australian Capital Territory,Clothing retailing,1/10/2021,2021,October  ,10,10.8,-65.27
Australian Capital Territory,Clothing retailing,1/11/2021,2021,November ,11,32.1,-8.55
Australian Capital Territory,Clothing retailing,1/12/2021,2021,December ,12,40.4,-12.36
Australian Capital Territory,Clothing retailing,1/01/2022,2022,January  ,1,22.6,-19.29
Australian Capital Territory,Clothing retailing,1/02/2022,2022,February ,2,21,-12.50
Australian Capital Territory,Clothing retailing,1/03/2022,2022,March    ,3,25.7,-13.47
Australian Capital Territory,Clothing retailing,1/04/2022,2022,April    ,4,30.5,-6.44
Australian Capital Territory,Clothing retailing,1/05/2022,2022,May      ,5,27.9,-16.72
Australian Capital Territory,Clothing retailing,1/06/2022,2022,June     ,6,26.1,-16.61
Australian Capital Territory,Clothing retailing,1/07/2022,2022,July     ,7,25,-16.11
Australian Capital Territory,Clothing retailing,1/08/2022,2022,August   ,8,21,66.67
Australian Capital Territory,Clothing retailing,1/09/2022,2022,September,9,23.2,404.35
Australian Capital Territory,Clothing retailing,1/10/2022,2022,October  ,10,23.7,119.44
Australian Capital Territory,Clothing retailing,1/11/2022,2022,November ,11,29.2,-9.03
Australian Capital Territory,Clothing retailing,1/12/2022,2022,December ,12,37.9,-6.19
Australian Capital Territory,Clothing retailing,1/01/2023,2023,January  ,1,23.4,3.54
Australian Capital Territory,Clothing retailing,1/02/2023,2023,February ,2,20.4,-2.86
Australian Capital Territory,Clothing retailing,1/03/2023,2023,March    ,3,24.8,-3.50
Australian Capital Territory,Clothing retailing,1/04/2023,2023,April    ,4,29.4,-3.61
Australian Capital Territory,Clothing retailing,1/05/2023,2023,May      ,5,29.3,5.02
Australian Capital Territory,Clothing retailing,1/06/2023,2023,June     ,6,27.1,3.83
Australian Capital Territory,Clothing retailing,1/07/2023,2023,July     ,7,24.8,-0.80
Australian Capital Territory,Clothing retailing,1/08/2023,2023,August   ,8,23.3,10.95
Australian Capital Territory,Clothing retailing,1/09/2023,2023,September,9,26.6,14.66
Australian Capital Territory,Clothing retailing,1/10/2023,2023,October  ,10,27.2,14.77
Australian Capital Territory,Clothing retailing,1/11/2023,2023,November ,11,33.9,16.10
Australian Capital Territory,Clothing retailing,1/12/2023,2023,December ,12,40.7,7.39
Australian Capital Territory,Clothing retailing,1/01/2024,2024,January  ,1,25.1,7.26
Australian Capital Territory,Clothing retailing,1/02/2024,2024,February ,2,21.9,7.35
Australian Capital Territory,Clothing retailing,1/03/2024,2024,March    ,3,25.5,2.82
Australian Capital Territory,Clothing retailing,1/04/2024,2024,April    ,4,28.9,-1.70
Australian Capital Territory,Clothing retailing,1/05/2024,2024,May      ,5,28.8,-1.71
Australian Capital Territory,Clothing retailing,1/06/2024,2024,June     ,6,27.3,0.74
Australian Capital Territory,Clothing retailing,1/07/2024,2024,July     ,7,25,0.81
Australian Capital Territory,Clothing retailing,1/08/2024,2024,August   ,8,23.9,2.58
Australian Capital Territory,Clothing retailing,1/09/2024,2024,September,9,24.4,-8.27
Australian Capital Territory,Clothing retailing,1/10/2024,2024,October  ,10,26.4,-2.94
Australian Capital Territory,Clothing retailing,1/11/2024,2024,November ,11,32,-5.60
Australian Capital Territory,Clothing retailing,1/12/2024,2024,December ,12,41.7,2.46
Australian Capital Territory,Clothing retailing,1/01/2025,2025,January  ,1,24.6,-1.99
Australian Capital Territory,Clothing retailing,1/02/2025,2025,February ,2,20.8,-5.02
Australian Capital Territory,Clothing retailing,1/03/2025,2025,March    ,3,24.3,-4.71
Australian Capital Territory,Clothing retailing,1/04/2025,2025,April    ,4,25.8,-10.73
Australian Capital Territory,Clothing retailing,1/05/2025,2025,May      ,5,28.5,-1.04
Australian Capital Territory,Clothing retailing,1/06/2025,2025,June     ,6,28,2.56
Australian Capital Territory,Department stores,1/01/2019,2019,January  ,1,27.9,NULL
Australian Capital Territory,Department stores,1/02/2019,2019,February ,2,21.9,NULL
Australian Capital Territory,Department stores,1/03/2019,2019,March    ,3,28.1,NULL
Australian Capital Territory,Department stores,1/04/2019,2019,April    ,4,31,NULL
Australian Capital Territory,Department stores,1/05/2019,2019,May      ,5,30.2,NULL
Australian Capital Territory,Department stores,1/06/2019,2019,June     ,6,30.7,NULL
Australian Capital Territory,Department stores,1/07/2019,2019,July     ,7,28,NULL
Australian Capital Territory,Department stores,1/08/2019,2019,August   ,8,26.8,NULL
Australian Capital Territory,Department stores,1/09/2019,2019,September,9,27.1,NULL
Australian Capital Territory,Department stores,1/10/2019,2019,October  ,10,30.3,NULL
Australian Capital Territory,Department stores,1/11/2019,2019,November ,11,35.2,NULL
Australian Capital Territory,Department stores,1/12/2019,2019,December ,12,57,NULL
Australian Capital Territory,Department stores,1/01/2020,2020,January  ,1,27.5,-1.43
Australian Capital Territory,Department stores,1/02/2020,2020,February ,2,23.5,7.31
Australian Capital Territory,Department stores,1/03/2020,2020,March    ,3,25.6,-8.90
Australian Capital Territory,Department stores,1/04/2020,2020,April    ,4,22.8,-26.45
Australian Capital Territory,Department stores,1/05/2020,2020,May      ,5,32,5.96
Australian Capital Territory,Department stores,1/06/2020,2020,June     ,6,30.6,-0.33
Australian Capital Territory,Department stores,1/07/2020,2020,July     ,7,29.6,5.71
Australian Capital Territory,Department stores,1/08/2020,2020,August   ,8,26.9,0.37
Australian Capital Territory,Department stores,1/09/2020,2020,September,9,28.2,4.06
Australian Capital Territory,Department stores,1/10/2020,2020,October  ,10,32.1,5.94
Australian Capital Territory,Department stores,1/11/2020,2020,November ,11,37,5.11
Australian Capital Territory,Department stores,1/12/2020,2020,December ,12,59.9,5.09
Australian Capital Territory,Department stores,1/01/2021,2021,January  ,1,31.2,13.45
Australian Capital Territory,Department stores,1/02/2021,2021,February ,2,25.7,9.36
Australian Capital Territory,Department stores,1/03/2021,2021,March    ,3,34.1,33.20
Australian Capital Territory,Department stores,1/04/2021,2021,April    ,4,33.6,47.37
Australian Capital Territory,Department stores,1/05/2021,2021,May      ,5,33.8,5.63
Australian Capital Territory,Department stores,1/06/2021,2021,June     ,6,32.7,6.86
Australian Capital Territory,Department stores,1/07/2021,2021,July     ,7,31,4.73
Australian Capital Territory,Department stores,1/08/2021,2021,August   ,8,12.7,-52.79
Australian Capital Territory,Department stores,1/09/2021,2021,September,9,0.6,-97.87
Australian Capital Territory,Department stores,1/10/2021,2021,October  ,10,17.1,-46.73
Australian Capital Territory,Department stores,1/11/2021,2021,November ,11,42.5,14.86
Australian Capital Territory,Department stores,1/12/2021,2021,December ,12,55.9,-6.68
Australian Capital Territory,Department stores,1/01/2022,2022,January  ,1,29,-7.05
Australian Capital Territory,Department stores,1/02/2022,2022,February ,2,24.4,-5.06
Australian Capital Territory,Department stores,1/03/2022,2022,March    ,3,31.4,-7.92
Australian Capital Territory,Department stores,1/04/2022,2022,April    ,4,35.3,5.06
Australian Capital Territory,Department stores,1/05/2022,2022,May      ,5,34.2,1.18
Australian Capital Territory,Department stores,1/06/2022,2022,June     ,6,34.9,6.73
Australian Capital Territory,Department stores,1/07/2022,2022,July     ,7,33.3,7.42
Australian Capital Territory,Department stores,1/08/2022,2022,August   ,8,30.5,140.16
Australian Capital Territory,Department stores,1/09/2022,2022,September,9,34.4,5633.33
Australian Capital Territory,Department stores,1/10/2022,2022,October  ,10,36.4,112.87
Australian Capital Territory,Department stores,1/11/2022,2022,November ,11,43.7,2.82
Australian Capital Territory,Department stores,1/12/2022,2022,December ,12,61.6,10.20
Australian Capital Territory,Department stores,1/01/2023,2023,January  ,1,33.7,16.21
Australian Capital Territory,Department stores,1/02/2023,2023,February ,2,25.7,5.33
Australian Capital Territory,Department stores,1/03/2023,2023,March    ,3,33.2,5.73
Australian Capital Territory,Department stores,1/04/2023,2023,April    ,4,36.9,4.53
Australian Capital Territory,Department stores,1/05/2023,2023,May      ,5,35.5,3.80
Australian Capital Territory,Department stores,1/06/2023,2023,June     ,6,33.7,-3.44
Australian Capital Territory,Department stores,1/07/2023,2023,July     ,7,33.3,0.00
Australian Capital Territory,Department stores,1/08/2023,2023,August   ,8,30.7,0.66
Australian Capital Territory,Department stores,1/09/2023,2023,September,9,34.2,-0.58
Australian Capital Territory,Department stores,1/10/2023,2023,October  ,10,35.1,-3.57
Australian Capital Territory,Department stores,1/11/2023,2023,November ,11,45.2,3.43
Australian Capital Territory,Department stores,1/12/2023,2023,December ,12,62.7,1.79
Australian Capital Territory,Department stores,1/01/2024,2024,January  ,1,32,-5.04
Australian Capital Territory,Department stores,1/02/2024,2024,February ,2,26.8,4.28
Australian Capital Territory,Department stores,1/03/2024,2024,March    ,3,33.8,1.81
Australian Capital Territory,Department stores,1/04/2024,2024,April    ,4,34.6,-6.23
Australian Capital Territory,Department stores,1/05/2024,2024,May      ,5,34.7,-2.25
Australian Capital Territory,Department stores,1/06/2024,2024,June     ,6,34.8,3.26
Australian Capital Territory,Department stores,1/07/2024,2024,July     ,7,32.3,-3.00
Australian Capital Territory,Department stores,1/08/2024,2024,August   ,8,31.3,1.95
Australian Capital Territory,Department stores,1/09/2024,2024,September,9,32.1,-6.14
Australian Capital Territory,Department stores,1/10/2024,2024,October  ,10,34.7,-1.14
Australian Capital Territory,Department stores,1/11/2024,2024,November ,11,45.8,1.33
Australian Capital Territory,Department stores,1/12/2024,2024,December ,12,62,-1.12
Australian Capital Territory,Department stores,1/01/2025,2025,January  ,1,32,0.00
Australian Capital Territory,Department stores,1/02/2025,2025,February ,2,27.2,1.49
Australian Capital Territory,Department stores,1/03/2025,2025,March    ,3,32.9,-2.66
Australian Capital Territory,Department stores,1/04/2025,2025,April    ,4,34.2,-1.16
Australian Capital Territory,Department stores,1/05/2025,2025,May      ,5,35.1,1.15
Australian Capital Territory,Department stores,1/06/2025,2025,June     ,6,37.1,6.61
Australian Capital Territory,Electrical and electronic goods retailing,1/01/2019,2019,January  ,1,38.8,NULL
Australian Capital Territory,Electrical and electronic goods retailing,1/02/2019,2019,February ,2,33.2,NULL
Australian Capital Territory,Electrical and electronic goods retailing,1/03/2019,2019,March    ,3,35.3,NULL
Australian Capital Territory,Electrical and electronic goods retailing,1/04/2019,2019,April    ,4,31.5,NULL
Australian Capital Territory,Electrical and electronic goods retailing,1/05/2019,2019,May      ,5,35.4,NULL
Australian Capital Territory,Electrical and electronic goods retailing,1/06/2019,2019,June     ,6,39.6,NULL
Australian Capital Territory,Electrical and electronic goods retailing,1/07/2019,2019,July     ,7,34.9,NULL
Australian Capital Territory,Electrical and electronic goods retailing,1/08/2019,2019,August   ,8,34.9,NULL
Australian Capital Territory,Electrical and electronic goods retailing,1/09/2019,2019,September,9,33.8,NULL
Australian Capital Territory,Electrical and electronic goods retailing,1/10/2019,2019,October  ,10,34.8,NULL
Australian Capital Territory,Electrical and electronic goods retailing,1/11/2019,2019,November ,11,41.5,NULL
Australian Capital Territory,Electrical and electronic goods retailing,1/12/2019,2019,December ,12,58,NULL
Australian Capital Territory,Electrical and electronic goods retailing,1/01/2020,2020,January  ,1,36.8,-5.15
Australian Capital Territory,Electrical and electronic goods retailing,1/02/2020,2020,February ,2,34.3,3.31
Australian Capital Territory,Electrical and electronic goods retailing,1/03/2020,2020,March    ,3,41.5,17.56
Australian Capital Territory,Electrical and electronic goods retailing,1/04/2020,2020,April    ,4,34,7.94
Australian Capital Territory,Electrical and electronic goods retailing,1/05/2020,2020,May      ,5,42.1,18.93
Australian Capital Territory,Electrical and electronic goods retailing,1/06/2020,2020,June     ,6,44.9,13.38
Australian Capital Territory,Electrical and electronic goods retailing,1/07/2020,2020,July     ,7,44.2,26.65
Australian Capital Territory,Electrical and electronic goods retailing,1/08/2020,2020,August   ,8,45,28.94
Australian Capital Territory,Electrical and electronic goods retailing,1/09/2020,2020,September,9,40.8,20.71
Australian Capital Territory,Electrical and electronic goods retailing,1/10/2020,2020,October  ,10,42.5,22.13
Australian Capital Territory,Electrical and electronic goods retailing,1/11/2020,2020,November ,11,53.5,28.92
Australian Capital Territory,Electrical and electronic goods retailing,1/12/2020,2020,December ,12,64.8,11.72
Australian Capital Territory,Electrical and electronic goods retailing,1/01/2021,2021,January  ,1,42.4,15.22
Australian Capital Territory,Electrical and electronic goods retailing,1/02/2021,2021,February ,2,40.3,17.49
Australian Capital Territory,Electrical and electronic goods retailing,1/03/2021,2021,March    ,3,39.8,-4.10
Australian Capital Territory,Electrical and electronic goods retailing,1/04/2021,2021,April    ,4,36.6,7.65
Australian Capital Territory,Electrical and electronic goods retailing,1/05/2021,2021,May      ,5,41.6,-1.19
Australian Capital Territory,Electrical and electronic goods retailing,1/06/2021,2021,June     ,6,46.6,3.79
Australian Capital Territory,Electrical and electronic goods retailing,1/07/2021,2021,July     ,7,48.3,9.28
Australian Capital Territory,Electrical and electronic goods retailing,1/08/2021,2021,August   ,8,29.2,-35.11
Australian Capital Territory,Electrical and electronic goods retailing,1/09/2021,2021,September,9,26.9,-34.07
Australian Capital Territory,Electrical and electronic goods retailing,1/10/2021,2021,October  ,10,34.9,-17.88
Australian Capital Territory,Electrical and electronic goods retailing,1/11/2021,2021,November ,11,55.2,3.18
Australian Capital Territory,Electrical and electronic goods retailing,1/12/2021,2021,December ,12,63.5,-2.01
Australian Capital Territory,Electrical and electronic goods retailing,1/01/2022,2022,January  ,1,43,1.42
Australian Capital Territory,Electrical and electronic goods retailing,1/02/2022,2022,February ,2,41.1,1.99
Australian Capital Territory,Electrical and electronic goods retailing,1/03/2022,2022,March    ,3,43.1,8.29
Australian Capital Territory,Electrical and electronic goods retailing,1/04/2022,2022,April    ,4,40.8,11.48
Australian Capital Territory,Electrical and electronic goods retailing,1/05/2022,2022,May      ,5,40.8,-1.92
Australian Capital Territory,Electrical and electronic goods retailing,1/06/2022,2022,June     ,6,47.7,2.36
Australian Capital Territory,Electrical and electronic goods retailing,1/07/2022,2022,July     ,7,46.5,-3.73
Australian Capital Territory,Electrical and electronic goods retailing,1/08/2022,2022,August   ,8,45.3,55.14
Australian Capital Territory,Electrical and electronic goods retailing,1/09/2022,2022,September,9,46,71.00
Australian Capital Territory,Electrical and electronic goods retailing,1/10/2022,2022,October  ,10,47.2,35.24
Australian Capital Territory,Electrical and electronic goods retailing,1/11/2022,2022,November ,11,53.1,-3.80
Australian Capital Territory,Electrical and electronic goods retailing,1/12/2022,2022,December ,12,61.2,-3.62
Australian Capital Territory,Electrical and electronic goods retailing,1/01/2023,2023,January  ,1,44.4,3.26
Australian Capital Territory,Electrical and electronic goods retailing,1/02/2023,2023,February ,2,41.6,1.22
Australian Capital Territory,Electrical and electronic goods retailing,1/03/2023,2023,March    ,3,42.5,-1.39
Australian Capital Territory,Electrical and electronic goods retailing,1/04/2023,2023,April    ,4,37.9,-7.11
Australian Capital Territory,Electrical and electronic goods retailing,1/05/2023,2023,May      ,5,42.7,4.66
Australian Capital Territory,Electrical and electronic goods retailing,1/06/2023,2023,June     ,6,49.3,3.35
Australian Capital Territory,Electrical and electronic goods retailing,1/07/2023,2023,July     ,7,42.5,-8.60
Australian Capital Territory,Electrical and electronic goods retailing,1/08/2023,2023,August   ,8,40.9,-9.71
Australian Capital Territory,Electrical and electronic goods retailing,1/09/2023,2023,September,9,43.8,-4.78
Australian Capital Territory,Electrical and electronic goods retailing,1/10/2023,2023,October  ,10,42.6,-9.75
Australian Capital Territory,Electrical and electronic goods retailing,1/11/2023,2023,November ,11,56.6,6.59
Australian Capital Territory,Electrical and electronic goods retailing,1/12/2023,2023,December ,12,61.2,0.00
Australian Capital Territory,Electrical and electronic goods retailing,1/01/2024,2024,January  ,1,41.6,-6.31
Australian Capital Territory,Electrical and electronic goods retailing,1/02/2024,2024,February ,2,38.7,-6.97
Australian Capital Territory,Electrical and electronic goods retailing,1/03/2024,2024,March    ,3,38.8,-8.71
Australian Capital Territory,Electrical and electronic goods retailing,1/04/2024,2024,April    ,4,36.9,-2.64
Australian Capital Territory,Electrical and electronic goods retailing,1/05/2024,2024,May      ,5,41.1,-3.75
Australian Capital Territory,Electrical and electronic goods retailing,1/06/2024,2024,June     ,6,47,-4.67
Australian Capital Territory,Electrical and electronic goods retailing,1/07/2024,2024,July     ,7,40.5,-4.71
Australian Capital Territory,Electrical and electronic goods retailing,1/08/2024,2024,August   ,8,39.7,-2.93
Australian Capital Territory,Electrical and electronic goods retailing,1/09/2024,2024,September,9,41.9,-4.34
Australian Capital Territory,Electrical and electronic goods retailing,1/10/2024,2024,October  ,10,43.9,3.05
Australian Capital Territory,Electrical and electronic goods retailing,1/11/2024,2024,November ,11,55.8,-1.41
Australian Capital Territory,Electrical and electronic goods retailing,1/12/2024,2024,December ,12,64,4.58
Australian Capital Territory,Electrical and electronic goods retailing,1/01/2025,2025,January  ,1,43.4,4.33
Australian Capital Territory,Electrical and electronic goods retailing,1/02/2025,2025,February ,2,38.8,0.26
Australian Capital Territory,Electrical and electronic goods retailing,1/03/2025,2025,March    ,3,41.4,6.70
Australian Capital Territory,Electrical and electronic goods retailing,1/04/2025,2025,April    ,4,37.6,1.90
Australian Capital Territory,Electrical and electronic goods retailing,1/05/2025,2025,May      ,5,40.7,-0.97
Australian Capital Territory,Electrical and electronic goods retailing,1/06/2025,2025,June     ,6,49.7,5.74
Australian Capital Territory,Footwear and other personal accessory retailing,1/01/2019,2019,January  ,1,13,NULL
Australian Capital Territory,Footwear and other personal accessory retailing,1/02/2019,2019,February ,2,11.1,NULL
Australian Capital Territory,Footwear and other personal accessory retailing,1/03/2019,2019,March    ,3,12.4,NULL
